 9.000, -83.683    1979 NE spotted area 3 (east of calibration area and north of 5N)
 8.917, -83.683
 8.883, -83.683
 8.800, -83.683
 8.717, -83.683
 8.600, -83.633
 8.567, -83.633
 8.517, -83.600
 8.483, -83.567
 8.483, -83.483
 8.400, -83.317
 8.433, -83.283
 8.483, -83.283
 8.600, -83.367
 8.633, -83.367
 8.633, -83.400
 8.683, -83.367
 8.683, -83.317
 8.683, -83.283
 8.633, -83.233
 8.633, -83.200
 8.600, -83.200 
 8.517, -83.117
 8.483, -83.083
 8.433, -83.083
 8.400, -83.083 
 8.367, -83.083
 8.317, -83.033
 8.317, -83.000     *END COSTA RICA, *BEGIN PANAMA (PACIFIC COAST)                                                        
 8.283, -83.000
 8.283, -82.967
 8.167, -82.917
 8.117, -82.883
 8.083, -82.883
 8.117, -82.883
 8.233, -82.800
 8.283, -82.800 
 8.283, -82.767 
 8.283, -82.717
 8.283, -82.633
 8.283, -82.600
 8.283, -82.567
 8.283, -82.517
 8.283, -82.483
 8.283, -82.400
 8.283, -82.367
 8.233, -82.317
 8.233, -82.283
 8.233, -82.233
 8.200, -82.117
 8.200, -82.033 
 8.167, -81.967
 8.117, -81.883
 8.117, -81.800
 8.117, -81.767
 8.083, -81.717
 8.000, -81.633
 8.000, -81.600
 7.967, -81.600
 7.917, -81.600
 7.883, -81.567
 7.717, -81.483
 7.683, -81.433
 7.683, -81.400
 7.633, -81.400
 7.600, -81.367
 7.567, -81.317
 7.567, -81.283
 7.567, -81.233
 7.567, -81.200 
 7.633, -81.167 
 7.683, -81.117 
 7.683, -81.083
 7.717, -81.033
 7.717, -81.000
 7.633, -80.967
 7.567, -80.967
 7.483, -80.967
 7.400, -80.917
 7.367, -80.917
 7.200, -80.883
 7.167, -80.833
 7.167, -80.800
 7.167, -80.767
 7.167, -80.600
 7.167, -80.567
 7.167, -80.517
 7.200, -80.483
 7.283, -80.400
 7.317, -80.283
 7.367, -80.200
 7.400, -80.167
 7.433, -80.117
 7.483, -80.083
 7.517, -80.117
 7.600, -80.117
 7.633, -80.200
 7.683, -80.200
 7.683, -80.283
 7.767, -80.283
 7.800, -80.317
 7.883, -80.483
 7.967, -80.483
 8.000, -80.483
 8.117, -80.433
 8.167, -80.400
 8.200, -80.400
 8.200, -80.317
 8.233, -80.283
 8.283, -80.167
 8.283, -80.083
 8.367, -80.000
 8.367, -79.967
 8.400, -79.917
 8.483, -79.833
 8.517, -79.800
 8.567, -79.767
 8.600, -79.767
 8.683, -79.683
 8.800, -79.600
 8.883, -79.567
 8.883, -79.517
 8.883, -79.483
 8.917, -79.433
 8.920, -79.562  BEGIN PANAMA CANAL (PAC)
 8.920, -79.545  END PANAMA CANAL (PAC)
 8.967, -79.367
 8.967, -79.317
 8.967, -79.283
 8.967, -79.233
 8.967, -79.200
 8.833, -79.033
 8.800, -79.000
 8.800, -78.917
 8.767, -78.883
 8.767, -78.833
 8.683, -78.717
 8.683, -78.683
 8.633, -78.633
 8.600, -78.600
 8.600, -78.567
 8.483, -78.483
 8.433, -78.433
 8.400, -78.400
 8.433, -78.367
 8.483, -78.233
 8.483, -78.200
 8.483, -78.167
 8.483, -78.117
 8.367, -78.033
 8.367, -78.000
 8.317, -78.000
 8.283, -78.033
 8.283, -78.083
 8.200, -78.233
 8.167, -78.283
 8.083, -78.283
 7.967, -78.317
 7.883, -78.317
 7.683, -78.283
 7.600, -78.233
 7.600, -78.200
 7.517, -78.200
 7.433, -78.083
 7.400, -78.033
 7.367, -78.033
 7.367, -78.000
 7.317, -77.967
 7.283, -77.917
 7.283, -77.917
 7.283, -77.917
 7.283, -77.883     *END PANAMA                                       
 7.283, -77.883     *BEGIN COLOMBIA (PACIFIC COAST)                   
7.283, -77.883
7.200, -77.833
7.200, -77.833
7.200, -77.833
7.083, -77.800
7.000, -77.800
6.917, -77.800
6.883, -77.767
6.883, -77.767
6.800, -77.683
6.767, -77.683
6.717, -77.633
6.717, -77.633
6.683, -77.600 
6.600, -77.483
6.600, -77.433
6.517, -77.433
6.483, -77.400
6.400, -77.400
6.233, -77.400
6.200, -77.400
6.117, -77.400
6.083, -77.400
6.000, -77.400
5.833, -77.367
5.800, -77.367
5.717, -77.367
5.683, -77.367
5.633, -77.367
5.517, -77.433
5.517, -77.433
5.483, -77.433
5.433, -77.483
5.400, -77.483
5.200, -77.433
5.167, -77.433 
5.083, -77.433
 5.0    -77.433
 5.000  -89.226  
 9.000  -83.683   Boundary of 1979 area for NE spotted (ends at 5N)
